Course Code,Course Code Change,Title,Title Change,NEW,REV,DEL,Unit,Unit Change,Transferability,Transferability Status,Comments,Effective Date,Published COR
ACAD PR027CE,,Statistics Skills and Preparation I,,,,X,0.0,,,,"Course Objectives, Deactivate Course",2025 Spring,
ACAD PR028CE,,Statistics Skills and Preparation II,,,,X,0.0,,,,"Indicate DE Approval in Affiliated Programs, Deactivate Course",2025 Spring,
ACAD PR051CE,,Basic Dimensional Analysis for Chemistry/Physics/Biological Sciences,,,,X,0.0,,,,Deactivate Course,2025 Spring,
ACAD PR110CE,,Introduction to Algebraic Concepts,,,,X,0.0,,,,"Indicate DE Approval in Affiliated Programs, Deactivate Course",2025 Spring,
ACAD PR112CE,,Pre-Algebra,,,X,,0.0,,,,Indicate DE Approval in Affiliated Programs,2025 Spring,
ACAD PR115CE,,Elementary Algebra,,,X,,0.0,,,,Indicate DE Approval in Affiliated Programs,2025 Spring,
ACAD PR121CE,,Geometry Fundamentals,,,X,,0.0,,,,Indicate DE Approval in Affiliated Programs,2025 Spring,
ACAD PR125CE,,Intermediate Algebra,,,X,,0.0,,,,Course General Education Status,2025 Spring,
ACCTG001,,Introductory Accounting I,,,X,,5.0,,Transferable to both UC and CSU,Approved,Course Transfer Status,2025 Spring,
ACCTG002,,Introductory Accounting II,,,X,,5.0,,Transferable to both UC and CSU,Approved,,2025 Spring,
ACCTG015,,Tax Accounting I,,,X,,3.0,,Transferable to CSU only,Approved,Indicate DE Approval in Affiliated Programs,2025 Spring,
ADM JUS005,,Criminal Investigation,,,X,,3.0,,Transferable to CSU only,Approved,Indicate DE Approval in Affiliated Programs,2025 Winter,
ADM JUS104,,Introduction To Forensic Science,,,X,,3.0,,Transferable to CSU only,Approved,Indicate DE Approval in Affiliated Programs,2025 Fall,
AFRO AM002,,The African American In Contemporary Urban Society,,,X,,3.0,,Transferable to both UC and CSU,Approved,CSLOs,2025 Spring,
AFRO AM004,,The African American In The History Of The U.S. I,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Course Objectives, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
AFRO AM004,,The African American In The History Of The U.S. I,,,X,,3.0,,Transferable to both UC and CSU,Approved,,2025 Fall,
ALD HTH021,,Basic Life Support For The Healthcare Provider,,,X,,0.5,,Transferable to CSU only,Approved,"Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
ALD HTH021,,Basic Life Support For The Healthcare Provider,,,X,,0.5,,Transferable to CSU only,Approved,Taxonomy of Programs (TOP) Code,2025 Spring,
ALD HTH021,,Basic Life Support For The Healthcare Provider,,,X,,0.5,,Transferable to CSU only,Approved,Indicate DE Approval in Affiliated Programs,2026 Winter,
ALD HTH035,,Introduction to Medical Assisting I,,X,,,3.0,,Transferable to CSU only,Approved,,2024 Fall,
ALD HTH035,,Introduction to Medical Assisting I,,,X,,3.0,,Transferable to CSU only,Approved,"Course Prerequisites, Corequisites, Antirequisites, and Advisories, Indicate DE Approval in Affiliated Programs",2025 Winter,
ALD HTH036,,Introduction to Medical Assisting II,,X,,,3.0,,Transferable to CSU only,Approved,,2024 Fall,
ALD HTH036,,Introduction to Medical Assisting II,,,X,,3.0,,Transferable to CSU only,Approved,"Course Prerequisites, Corequisites, Antirequisites, and Advisories, Indicate DE Approval in Affiliated Programs",2025 Winter,
ALD HTH037,,Medical Assisting Laboratory,,X,,,1.0,,Transferable to CSU only,Pending,,2024 Fall,
ALD HTH037,,Medical Assisting Laboratory,,,X,,1.0,1.5,Transferable to CSU only,Approved,"Maximum Units, Minimum Units, Course Prerequisites, Corequisites, Antirequisites, and Advisories, Course Control Number, Course Transfer Status",2025 Winter,
ALD HTH038,,Medical Assisting Clinical Internship,,X,,,2.5,,Transferable to CSU only,Pending,,2024 Fall,
ALD HTH039,,Medical Assistant Certification Prep,,X,,,0.5,,Transferable to CSU only,Approved,,2024 Fall,
ANIMATN217,,Storyboards,,X,,,3.0,,Transferable to CSU only,Approved,,2026 Fall,
ANIMATN218,,Fundamentals Of Animation,,X,,,3.0,,Transferable to CSU only,Approved,,2026 Fall,
ANIMATN225,,Three-Dimensional Character Animation,,X,,,3.0,,Transferable to CSU only,Approved,,2025 Fall,
ANIMATN225,,Three-Dimensional Character Animation,,,X,,3.0,,Transferable to CSU only,Approved,Course Objectives,2026 Summer,
ANTHRO101,,Human Biological Evolution,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Course Prerequisites, Corequisites, Antirequisites, and Advisories, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
ANTHRO104,,Human Language And Communication,,,X,,3.0,,Transferable to both UC and CSU,Pending,Indicate DE Approval in Affiliated Programs,2025 Winter,
ANTHRO104,,Human Language And Communication,,,X,,3.0,,Transferable to both UC and CSU,Approved,"CSLOs, Course Objectives, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2026 Winter,
ANTHRO111,,Laboratory In Human Biological Evolution,,,X,,1.0,,Transferable to both UC and CSU,Pending,Indicate DE Approval in Affiliated Programs,2026 Winter,
